Title,Current Ch,Max Ch,Link,Cover URL,Status,Class
The Tutorial Tower of the Advanced Player,223,223,https://mangabuddy.com/the-tutorial-towers-advanced-player,https://gg.asuracomic.net/storage/media/142/conversions/0801fe99-optimized.webp,ACTIVE,IRREGULAR
The Return of the Legendary Spear Knight,172,,,,ACTIVE,MAGE
The Return of the Disaster-Class Hero,124,,,,ACTIVE,MAGE
The Player That Can’t Level Up,152,,,,ACTIVE,PLAYER
The Max Level Hero Strikes Back,147,,,,ACTIVE,PLAYER
The Constellations Are My Disciples,68,,,,ACTIVE,CONSTELLATION
The Lord’s Coins Aren’t Decreasing?!,115,23,,,ACTIVE,PLAYER
Swordmaster’s Youngest Son ,141,186,https://asuracomic.net/series/swordmasters-youngest-son-1cdb4435,https://gg.asuracomic.net/storage/media/316729/conversions/01JWECBDM60FZXH7BMGCMXBDM5-optimized.webp,CONQUERED,PLAYER
The World’s Apocalypse Online,263,265,,,ACTIVE,PLAYER
The Beginning After the End,181,200,https://w15.thebeginningaftertheendmanga.com,https://uploads.mangadex.org/covers/f30a1d56-f3a4-4848-8cf2-b4369e784dcb/25709cf1-8cb4-4315-87ed-69d9646024bd.jpg,SEVERED,PLAYER
Beast Familiar for All: Beginning Awakening of Mythical Talents,86,90,https://mangafire.to/manga/quanmin-yu-shou-kaiju-juexing-shenhua-ji-tiamanfuu.5kl7m,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx199483-HFz3DW4LlsBo.jpg,CONQUERED,PLAYER
Damn Reincarnation,81,81,https://asuracomic.net/series/damn-reincarnation-bc94468a,https://gg.asuracomic.net/storage/media/57/conversions/465406e6-optimized.webp,SEVERED,MAGE
Saviour of Divine Blood ~Draw Out 0.00000001% to Become the Strongest,77,300,https://comix.to/title/kkze-savior-of-divine-blood-draw-out-000000001-to-become-the-strongest,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx154917-po1L6mhdIbd0.jpg,SEVERED,PLAYER
Ranker’s Return (Remake),189,,,,ACTIVE,MAGE
The Legendary Mechanic,222,281,https://comix.to/title/0775-the-legendary-mechanic,https://static.comix.to/624c/i/7/da/68de8565ba2d4.jpg,CONQUERED,PLAYER
"Player Who Returned 10,000 Years Later",128,146,https://asuracomic.net/series/player-who-returned-10000-years-later-1cea3a89,https://gg.asuracomic.net/storage/media/279383/conversions/01JNYM905495Q802DXMN0QWK79-optimized.webp,SEVERED,MAGE
Talent-Swallowing Magician,96,129,https://asuracomic.net/series/talent-swallowing-magician-8e555cd9,https://gg.asuracomic.net/storage/media/16/conversions/6dbf7d83-optimized.webp,ACTIVE,CONSTELLATION
